"Source:","C:\Users\sammi\Desktop\kevätprojekti\Kevat24Proj\stm32\stm32.kicad_sch"
"Date:","2024-04-04T11:24:38+0300"
"Tool:","Eeschema 8.0.1"
"Generator:","C:\Users\sammi\AppData\Local\Programs\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"AE1","1","W3008","W3008","footprints:ANT_W3008_PUL","","",""
"C1, C3, C4, C6, C7, C8, C9, C10, C12, C13, C14, C15","12","100 nF","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"C2","1","10 uF","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"C5, C11","2","4u7","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"C14 1uF1","1","~","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"C15 1uF1","1","1uF","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"D1","1","1N4001","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","50V 1A General Purpose Rectifier Diode, DO-41","",""
"D2","1","LED","LED","LED_THT:LED_D5.0mm_Clear","Light emitting diode","",""
"DS1","1","NHD-C0216CIZ-FSW-FBW-3V3","NHD-C0216CIZ-FSW-FBW-3V3","lcd:LCD_NHD-C0216CIZ-FSW-FBW-3V3","Character Display FSTN Transflective 16Char x 2Line 8-Pin","",""
"J1, J3","2","Conn_01x02_Pin","Conn_01x02_Pin","Connector_Wire:SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm","Generic connector, single row, 01x02, script generated","",""
"J2","1","AVR-JTAG-10","AVR-JTAG-10","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","Atmel 10-pin JTAG connector","",""
"R1","1","330 Ω","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor","",""
"R2","1","220 Ω","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor","",""
"R3","1","5k1 Ω","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor","",""
"R4, R5","2","4.7 kΩ","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor","",""
"U1","1","LD1117V33","LD1117V33","rekulaattori:TO255P1020X450X1968-3","","",""
"U2","1","STM32WB55CEUx","STM32WB55CEUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","STMicroelectronics Arm Cortex-M4 MCU, 512KB flash, 256KB RAM, 64 MHz, 1.71-3.6V, 30 GPIO, UFQFPN48","",""
"U3","1","BME280","BME280","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","3-in-1 sensor, humidity, pressure, temperature, I2C and SPI interface, 1.71-3.6V, LGA-8","",""
"U4","1","MLPF-WB-01E3","MLPF-WB-01E3","lpf:CSP6_BUMPLESS_STM","","",""
"Y1","1","ACHL-32.000MHZ-EK","ACHL-32.000MHZ-EK","oskillaattori:XTAL_ACHL-32.000MHZ-EK","","",""
